"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"College of the Muscogee Nation","Oklahoma","OK","Public","2 Year",9.045,6.593,15638,15008,24053
"College of the Ozarks","Missouri","MO","Private","4 Year",7.4,19.36,26760,19360,26760
"College of the Redwoods","California","CA","Public","2 Year",8.231,1.418,9649,9188,17419
"College of the Siskiyous","California","CA","Public","2 Year",8,1.43,9430,9170,17170
"College of William and Mary","Virginia","VA","Public","4 Year",12.236,23.4,35636,44701,56937
"College of Wooster","Ohio","OH","Private","4 Year",11.85,50.25,62100,50250,62100
"Colorado Christian University","Colorado","CO","Private","4 Year",11.846,31.866,43712,31866,43712
"Colorado College","Colorado","CO","Private","4 Year",12.512,55.47,67982,55470,67982
"Colorado Mesa University","Colorado","CO","Public","4 Year",10.925,9.243,20168,22440,33365
"Colorado Mountain College","Colorado","CO","Public","2 Year",11.658,2.7,14358,13890,25548
"Colorado Northwestern Community College","Colorado","CO","Public","2 Year",7.37,4.906,12276,7885,15255
"Colorado School of Mines","Colorado","CO","Public","4 Year",13.169,18.964,32133,38584,51753
"Colorado State University","Colorado","CO","Public","4 Year",11.964,11.831,23795,29732,41696
"Colorado State University: Pueblo","Colorado","CO","Public","4 Year",10.47,10.408,20878,26329,36799
"Columbia College","South Carolina","SC","Private","4 Year",7.9,19.5,27400,19500,27400
"Columbia College","Missouri","MO","Private","4 Year",7.808,22.704,30512,22704,30512
"Columbia College Chicago","Illinois","IL","Private","4 Year",14.012,27.176,41188,27176,41188
"Columbia International University","South Carolina","SC","Private","4 Year",8.15,23.69,31840,23690,31840
"Columbia University","New York","NY","Private","4 Year",14.016,59.985,74001,59985,74001
"Columbia University: School of General Studies","New York","NY","Private","4 Year",14.19,57.549,71739,57549,71739
"Columbus College of Art and Design","Ohio","OH","Private","4 Year",9.57,36.02,45590,36020,45590
"Columbus State University","Georgia","GA","Public","4 Year",9.88,7.2,17080,20682,30562
"Commonwealth Technical Institute","Pennsylvania","PA","Private","2 Year",10.98,11.324,22304,11324,22304
"Conception Seminary College","Missouri","MO","Private","4 Year",13.321,21.526,34847,21526,34847
"Concord University","West Virginia","WV","Public","4 Year",8.988,7.896,16884,17320,26308
"Concordia College","New York","NY","Private","4 Year",12.69,32.9,45590,32900,45590
"Concordia College","Alabama","AL","Private","4 Year",5.7,10.12,15820,10120,15820
"Concordia College: Moorhead","Minnesota","MN","Private","4 Year",8.23,39.878,48108,39878,48108
"Concordia University","Michigan","MI","Private","4 Year",10.31,29.32,39630,29320,39630
"Concordia University","Oregon","OR","Private","4 Year",9.52,30.908,40428,30908,40428
"Concordia University","Nebraska","NE","Private","4 Year",8.47,32.22,40690,32220,40690
"Concordia University Chicago","Illinois","IL","Private","4 Year",9.748,32.078,41826,32078,41826
"Concordia University Irvine","California","CA","Private","4 Year",11.3,35.4,46700,35400,46700
"Concordia University St. Paul","Minnesota","MN","Private","4 Year",9,22.275,31275,22275,31275
"Concordia University Texas","Texas","TX","Private","4 Year",11.018,31.81,42828,31810,42828
"Concordia University Wisconsin","Wisconsin","WI","Private","4 Year",10.86,29.45,40310,29450,40310
"Connecticut College","Connecticut","CT","Private","4 Year",15.15,54.82,69970,54820,69970
"Connors State College","Oklahoma","OK","Public","2 Year",6.032,4.328,10360,9031,15063
"Converse College","South Carolina","SC","Private","4 Year",10.93,18.69,29620,18690,29620
"Cooper Union for the Advancement of Science and Art","New York","NY","Private","4 Year",16.638,46.7,63338,46700,63338
"Copiah-Lincoln Community College","Mississippi","MS","Public","2 Year",3.85,3.18,7030,5180,9030
"Coppin State University","Maryland","MD","Public","4 Year",10.39,6.625,17015,12896,23286
"Corban University","Oregon","OR","Private","4 Year",10.228,33.04,43268,33040,43268
"Cornell College","Iowa","IA","Private","4 Year",9.384,42.299,51683,42299,51683
"Cornell University","New York","NY","Private","4 Year",14.816,55.188,70004,55188,70004
"Cornerstone University","Michigan","MI","Private","4 Year",9.3,24.5,33800,24500,33800
"Corning Community College","New York","NY","Public","2 Year",9.6,5.348,14948,10148,19748
"Cornish College of the Arts","Washington","WA","Private","4 Year",12.4,41.642,54042,41642,54042
"Cottey College","Missouri","MO","Private","4 Year",7.7,21.15,28850,21150,28850
"Covenant College","Georgia","GA","Private","4 Year",10.26,34.33,44590,34330,44590
"Cowley County Community College","Kansas","KS","Public","2 Year",5.2,3,8200,4710,9910
"Creighton University","Nebraska","NE","Private","4 Year",11.036,39.916,50952,39916,50952
"Crowder College","Missouri","MO","Public","2 Year",5.564,3.54,9104,5040,10604
"Crowley's Ridge College","Arkansas","AR","Private","2 Year",6.35,13,19350,13000,19350
"Crown College","Minnesota","MN","Private","4 Year",8.66,26.2,34860,26200,34860
"Culinary Institute of America","New York","NY","Private","4 Year",11.56,32.72,44280,32720,44280
"Culver-Stockton College","Missouri","MO","Private","4 Year",8.52,26.68,35200,26680,35200
"Cumberland University","Tennessee","TN","Private","4 Year",9.29,22.89,32180,22890,32180
"Curry College","Massachusetts","MA","Private","4 Year",15.885,39.72,55605,39720,55605
"D'Youville College","New York","NY","Private","4 Year",12.224,26.75,38974,26750,38974
"Daemen College","New York","NY","Private","4 Year",12.915,28.58,41495,28580,41495
"Dakota College at Bottineau","North Dakota","ND","Public","2 Year",7.21,4.568,11778,6444,13654
"Dakota State University","South Dakota","SD","Public","4 Year",6.873,9.276,16149,12249,19122
"Dakota Wesleyan University","South Dakota","SD","Private","4 Year",7.35,27.3,34650,27300,34650
"Dallas Baptist University","Texas","TX","Private","4 Year",7.992,28.87,36862,28870,36862
"Dallas Christian College","Texas","TX","Private","4 Year",9.01,17.62,26630,17620,26630
"Dalton State College","Georgia","GA","Public","4 Year",8.95,4.246,13196,12668,21618
"Dartmouth College","New Hampshire","NH","Private","4 Year",15.756,55.453,71209,55453,71209
"Davenport University","Michigan","MI","Private","4 Year",9.928,22.8,32728,22800,32728
"Davidson College","North Carolina","NC","Private","4 Year",14.372,51.447,65819,51447,65819
"Davis and Elkins College","West Virginia","WV","Private","4 Year",9.45,29.39,38840,29390,38840
"Davis College","New York","NY","Private","4 Year",8.1,17.15,25250,17150,25250
"Dawson Community College","Montana","MT","Public","2 Year",6.075,3.72,9795,7770,13845
"Dean College","Massachusetts","MA","Private","2 Year",16.836,39.734,56570,39734,56570
"Defiance College","Ohio","OH","Private","4 Year",10.22,32.73,42950,32730,42950
"Delaware College of Art and Design","Delaware","DE","Private","2 Year",12.45,25.395,37845,25395,37845
"Delaware State University","Delaware","DE","Public","4 Year",12.19,7.868,20058,16904,29094
"Delaware Valley University","Pennsylvania","PA","Private","4 Year",14.34,39.44,53780,39440,53780
"Delta State University","Mississippi","MS","Public","4 Year",7.722,7.246,14968,7246,14968
"Denison University","Ohio","OH","Private","4 Year",12.71,51.96,64670,51960,64670
"Denmark Technical College","South Carolina","SC","Public","2 Year",4.024,5.4,9424,9150,13174
"DePaul University","Illinois","IL","Private","4 Year",14.235,39.975,54210,39975,54210
"DePauw University","Indiana","IN","Private","4 Year",13.02,49.704,62724,49704,62724
"Des Moines Area Community College","Iowa","IA","Public","2 Year",7.302,4.71,12012,9420,16722
"DeSales University","Pennsylvania","PA","Private","4 Year",12.8,37.6,50400,37600,50400
"Dickinson College","Pennsylvania","PA","Private","4 Year",13.698,54.661,68359,54661,68359
"Dickinson State University","North Dakota","ND","Public","4 Year",6.898,6.765,13663,9544,16442
"Dillard University","Louisiana","LA","Private","4 Year",10.1,18.099,28199,18099,28199
"Dine College","Arizona","AZ","Public","2 Year",4.61,1.41,6020,1410,6020
"Divine Word College","Iowa","IA","Private","4 Year",3.7,13.485,17185,13485,17185
"Dixie State University","Utah","UT","Public","4 Year",6.328,5.253,11581,15051,21379
"Doane University","Nebraska","NE","Private","4 Year",9.4,33.8,43200,33800,43200
"Dodge City Community College","Kansas","KS","Public","2 Year",6.65,2.84,9490,3680,10330
"Dominican College of Blauvelt","New York","NY","Private","4 Year",13.15,29,42150,29000,42150
"Dominican University","Illinois","IL","Private","4 Year",10.241,33.434,43675,33434,43675
"Dominican University of California","California","CA","Private","4 Year",14.81,45.85,60660,45850,60660
"Dordt College","Iowa","IA","Private","4 Year",9.59,30.87,40460,30870,40460
"Drake University","Iowa","IA","Private","4 Year",10.528,41.396,51924,41396,51924
"Drew University","New Jersey","NJ","Private","4 Year",14.108,39.5,53608,39500,53608
"Drexel University","Pennsylvania","PA","Private","4 Year",14.079,53.279,67358,53279,67358
"Drury University","Missouri","MO","Private","4 Year",8.096,28.365,36461,28365,36461
"Duke University","North Carolina","NC","Private","4 Year",15.178,55.695,70873,55695,70873
"Duquesne University","Pennsylvania","PA","Private","4 Year",12.586,38.178,50764,38178,50764
"Dutchess Community College","New York","NY","Public","2 Year",11.518,4.404,15922,8268,19786
"Earlham College","Indiana","IN","Private","4 Year",10.4,46.45,56850,46450,56850
"East Carolina University","North Carolina","NC","Public","4 Year",9.606,7.188,16794,23465,33071
"East Central Community College","Mississippi","MS","Public","2 Year",3.83,2.87,6700,4970,8800
"East Central University","Oklahoma","OK","Public","4 Year",5.514,6.81,12324,17700,23214
"East Georgia State College","Georgia","GA","Public","2 Year",9.084,3.666,12750,11412,20496
"East Mississippi Community College","Mississippi","MS","Public","2 Year",4.8,3.44,8240,6440,11240
"East Stroudsburg University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9.7,11.084,20784,23516,33216
"East Tennessee State University","Tennessee","TN","Public","4 Year",8.472,9.277,17749,28459,36931
"East Texas Baptist University","Texas","TX","Private","4 Year",9.079,26.37,35449,26370,35449
"Eastern Arizona College","Arizona","AZ","Public","2 Year",6.79,2.7,9490,8700,15490
"Eastern Connecticut State University","Connecticut","CT","Public","4 Year",13.56,11.356,24916,22596,36156
"Eastern Illinois University","Illinois","IL","Public","4 Year",9.882,11.803,21685,14023,23905
"Eastern Kentucky University","Kentucky","KY","Public","4 Year",9.018,9.296,18314,19074,28092
"Eastern Maine Community College","Maine","ME","Public","2 Year",8.93,3.816,12746,6636,15566
"Eastern Mennonite University","Virginia","VA","Private","4 Year",11.16,37.1,48260,37100,48260
"Eastern Michigan University","Michigan","MI","Public","4 Year",9.854,13.959,23813,13959,23813
"Eastern Nazarene College","Massachusetts","MA","Private","4 Year",9.624,25.598,35222,25598,35222
"Eastern New Mexico University","New Mexico","NM","Public","4 Year",7.162,6.206,13368,8128,15290
"Eastern Oklahoma State College","Oklahoma","OK","Public","2 Year",5.777,4.697,10474,8314,14091
"Eastern Oregon University","Oregon","OR","Public","4 Year",10.04,8.679,18719,20739,30779
"Eastern University","Pennsylvania","PA","Private","4 Year",11.254,33.122,44376,33122,44376
"Eastern Washington University","Washington","WA","Public","4 Year",12.793,7.323,20116,24444,37237
"Eastern Wyoming College","Wyoming","WY","Public","2 Year",6.32,3.096,9416,7608,13928
"Eastman School of Music of the University of Rochester","New York","NY","Private","4 Year",15.862,54.584,70446,54584,70446
"Ecclesia College","Arkansas","AR","Private","4 Year",5.81,15.14,20950,15140,20950
"Eckerd College","Florida","FL","Private","4 Year",12.588,44.54,57128,44540,57128
"Edgewood College","Wisconsin","WI","Private","4 Year",11.02,29.5,40520,29500,40520
"Edinboro University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9.408,10.543,19951,15062,24470
"Edmonds Community College","Washington","WA","Public","2 Year",7.4,4.471,11871,4471,11871
"Edward Waters College","Florida","FL","Private","4 Year",7.282,13.725,21007,13725,21007
"Elizabeth City State University","North Carolina","NC","Public","4 Year",8.84,3.194,12034,7194,16034
"Elizabethtown College","Pennsylvania","PA","Private","4 Year",11.37,46.94,58310,46940,58310
"Ellsworth Community College","Iowa","IA","Public","2 Year",5.97,5.97,11940,7140,13110
"Elmhurst College","Illinois","IL","Private","4 Year",10.366,37.055,47421,37055,47421
"Elmira College","New York","NY","Private","4 Year",12,41.9,53900,41900,53900
"Elms College","Massachusetts","MA","Private","4 Year",13.108,35.788,48896,35788,48896
"Elon University","North Carolina","NC","Private","4 Year",12.23,35.319,47549,35319,47549
"Embry-Riddle Aeronautical University: Daytona Beach Campus","Florida","FL","Private","4 Year",11.438,35.814,47252,35814,47252
"Embry-Riddle Aeronautical University: Prescott Campus","Arizona","AZ","Private","4 Year",11.394,35.654,47048,35654,47048
"Emerson College","Massachusetts","MA","Private","4 Year",17.69,46.852,64542,46852,64542
"Emmanuel College","Georgia","GA","Private","4 Year",8.136,20.292,28428,20292,28428
"Emmanuel College","Massachusetts","MA","Private","4 Year",14.994,39.804,54798,39804,54798
"Emmaus Bible College","Iowa","IA","Private","4 Year",8.5,18.4,26900,18400,26900
"Emory & Henry College","Virginia","VA","Private","4 Year",12.1,35.135,47235,35135,47235
"Emory University","Georgia","GA","Private","4 Year",14.456,51.306,65762,51306,65762
"Emporia State University","Kansas","KS","Public","4 Year",8.912,6.758,15670,20675,29587
"Endicott College","Massachusetts","MA","Private","4 Year",15.726,33.05,48776,33050,48776
"Erskine College","South Carolina","SC","Private","4 Year",10.9,34.56,45460,34560,45460
"Eugene Lang College The New School for Liberal Arts","New York","NY","Private","4 Year",18,48.191,66191,48191,66191
"Eureka College","Illinois","IL","Private","4 Year",9.62,25.39,35010,25390,35010
"Evangel University","Missouri","MO","Private","4 Year",8.522,23.296,31818,23296,31818
"Everett Community College","Washington","WA","Public","2 Year",8.5,4.417,12917,4417,12917
"Evergreen State College","Washington","WA","Public","4 Year",11.346,7.949,19295,26459,37805
"Fairfield University","Connecticut","CT","Private","4 Year",14.71,48.35,63060,48350,63060
"Fairleigh Dickinson University: College at Florham","New Jersey","NJ","Private","4 Year",13.392,42.618,56010,42618,56010
"Fairleigh Dickinson University: Metropolitan Campus","New Jersey","NJ","Private","4 Year",13.348,40.236,53584,40236,53584
"Fairmont State University","West Virginia","WV","Public","4 Year",9.004,7.514,16518,16324,25328
"Faith Baptist Bible College and Theological Seminary","Iowa","IA","Private","4 Year",6.8,16.876,23676,16876,23676
"Family of Faith College","Oklahoma","OK","Private","4 Year",2.4,6.4,8800,6400,8800
"Fashion Institute of Technology","New York","NY","Public","4 Year",14.48,5.74,20220,15520,30000
"Faulkner University","Alabama","AL","Private","4 Year",7.75,21.69,29440,21690,29440
"Fayetteville State University","North Carolina","NC","Public","4 Year",8.236,4.915,13151,16523,24759
"Feather River College","California","CA","Public","2 Year",5.35,1.461,6811,8511,13861
"Felician University","New Jersey","NJ","Private","4 Year",12.88,34.315,47195,34315,47195
"Ferris State University","Michigan","MI","Public","4 Year",9.894,12.63,22524,12630,22524
"Ferrum College","Virginia","VA","Private","4 Year",11.5,34.175,45675,34175,45675
"Finger Lakes Community College","New York","NY","Public","2 Year",9.737,5.158,14895,7450,17187
"Finlandia University","Michigan","MI","Private","4 Year",8.8,22.758,31558,22758,31558
"Fisher College","Massachusetts","MA","Private","4 Year",15.926,31.384,47310,31384,47310
"Fisk University","Tennessee","TN","Private","4 Year",10.79,21.48,32270,21480,32270
"Fitchburg State University","Massachusetts","MA","Public","4 Year",10.922,10.355,21277,16435,27357
"Five Towns College","New York","NY","For Profit","4 Year",12.82,21.64,34460,21640,34460
"Flagler College","Florida","FL","Private","4 Year",11.34,18.95,30290,18950,30290
"Florida Agricultural and Mechanical University","Florida","FL","Public","4 Year",10.594,5.827,16421,17768,28362
"Florida Atlantic University","Florida","FL","Public","4 Year",11.896,6.039,17935,21595,33491
"Florida College","Florida","FL","Private","4 Year",8.37,17.142,25512,17142,25512
"Florida Gulf Coast University","Florida","FL","Public","4 Year",10.156,6.118,16274,25162,35318
"Florida Institute of Technology","Florida","FL","Private","4 Year",12.88,41.85,54730,41850,54730
"Florida International University","Florida","FL","Public","4 Year",10.882,6.558,17440,18956,29838
"Florida Keys Community College","Florida","FL","Public","2 Year",10.2,3.277,13477,13162,23362
"Florida Memorial University","Florida","FL","Private","4 Year",7.816,15.536,23352,15536,23352
"Florida Southern College","Florida","FL","Private","4 Year",11.65,36.348,47998,36348,47998
"Florida SouthWestern State College","Florida","FL","Public","2 Year",9,3.401,12401,13944,22944
"Florida State University","Florida","FL","Public","4 Year",10.816,6.516,17332,21683,32499
"Fond du Lac Tribal and Community College","Minnesota","MN","Public","2 Year",3.598,5.258,8856,5258,8856
"Fontbonne University","Missouri","MO","Private","4 Year",10.53,26.34,36870,26340,36870
"Fordham University","New York","NY","Private","4 Year",17.969,52.687,70656,52687,70656
"Fort Hays State University","Kansas","KS","Public","4 Year",8.3,5.133,13433,15201,23501
"Fort Lewis College","Colorado","CO","Public","4 Year",9.878,9.04,18918,19696,29574
"Fort Peck Community College","Montana","MT","Public","2 Year",6.075,2.52,8595,2520,8595
"Fort Scott Community College","Kansas","KS","Public","2 Year",5.77,2.88,8650,3330,9100
"Fort Valley State University","Georgia","GA","Public","4 Year",8.372,6.664,15036,19740,28112
"Framingham State University","Massachusetts","MA","Public","4 Year",12.306,10.335,22641,16415,28721
"Francis Marion University","South Carolina","SC","Public","4 Year",7.948,11.16,19108,21544,29492
"Franciscan University of Steubenville","Ohio","OH","Private","4 Year",8.5,27.63,36130,27630,36130
"Frank Phillips College","Texas","TX","Public","2 Year",5.04,2.838,7878,3850,8890
"Franklin & Marshall College","Pennsylvania","PA","Private","4 Year",14.05,56.75,70800,56750,70800
"Franklin College","Indiana","IN","Private","4 Year",9.946,32.01,41956,32010,41956
"Franklin Pierce University","New Hampshire","NH","Private","4 Year",13.345,36.9,50245,36900,50245
"Franklin W. Olin College of Engineering","Massachusetts","MA","Private","4 Year",16.3,53.736,70036,53736,70036
"Freed-Hardeman University","Tennessee","TN","Private","4 Year",8.26,21.95,30210,21950,30210
"Fresno Pacific University","California","CA","Private","4 Year",8.676,31.452,40128,31452,40128
"Friends University","Kansas","KS","Private","4 Year",7.972,28.415,36387,28415,36387
"Frostburg State University","Maryland","MD","Public","4 Year",10.202,9.172,19374,22892,33094
"Fulton-Montgomery Community College","New York","NY","Public","2 Year",11.87,5.46,17330,10060,21930
"Furman University","South Carolina","SC","Private","4 Year",12.712,49.532,62244,49532,62244
"Gadsden State Community College","Alabama","AL","Public","2 Year",3.6,4.8,8400,8430,12030
"Gannon University","Pennsylvania","PA","Private","4 Year",12.65,32.136,44786,32136,44786
"Garden City Community College","Kansas","KS","Public","2 Year",5.45,3.12,8570,3690,9140
"Gardner-Webb University","North Carolina","NC","Private","4 Year",10.39,31.22,41610,31220,41610
"Garrett College","Maryland","MD","Public","2 Year",8.275,4.38,12655,9870,18145
"Genesee Community College","New York","NY","Public","2 Year",8.72,4.64,13360,5240,13960
"Geneva College","Pennsylvania","PA","Private","4 Year",10.17,26.73,36900,26730,36900
"George Fox University","Oregon","OR","Private","4 Year",11.25,36.02,47270,36020,47270
"George Mason University","Virginia","VA","Public","4 Year",11.46,12.462,23922,35922,47382
"Georgetown College","Kentucky","KY","Private","4 Year",9.78,38.65,48430,38650,48430
"Georgia College and State University","Georgia","GA","Public","4 Year",11.016,9.346,20362,28060,39076
"Georgia Gwinnett College","Georgia","GA","Public","4 Year",12.87,6.124,18994,18552,31422
"Georgia Institute of Technology","Georgia","GA","Public","4 Year",11.884,12.424,24308,33020,44904
"Georgia Southern University","Georgia","GA","Public","4 Year",10.07,7.422,17492,20904,30974
"Georgia Southwestern State University","Georgia","GA","Public","4 Year",8.12,6.336,14456,19412,27532
"Georgia State University","Georgia","GA","Public","4 Year",11.378,10.858,22236,29432,40810
"Georgian Court University","New Jersey","NJ","Private","4 Year",10.808,32.876,43684,32876,43684
"Gettysburg College","Pennsylvania","PA","Private","4 Year",13.01,54.48,67490,54480,67490
"Goddard College","Vermont","VT","Private","4 Year",1.698,16.586,18284,16586,18284
"Gogebic Community College","Michigan","MI","Public","2 Year",5.6,4.924,10524,7373,12973
"Goldey-Beacom College","Delaware","DE","Private","4 Year",6.4,24.3,30700,24300,30700
"Gonzaga University","Washington","WA","Private","4 Year",11.944,43.21,55154,43210,55154
"Gordon College","Massachusetts","MA","Private","4 Year",11.07,37.4,48470,37400,48470
"Gordon State College","Georgia","GA","Public","2 Year",6.656,4.292,10948,12714,19370
"Goshen College","Indiana","IN","Private","4 Year",10.65,33.7,44350,33700,44350
"Goucher College","Maryland","MD","Private","4 Year",14.506,44.3,58806,44300,58806
"Governors State University","Illinois","IL","Public","4 Year",10.346,12.196,22542,21586,31932
"Grace Bible College","Michigan","MI","Private","4 Year",7.7,19.95,27650,19950,27650
"Grace College","Indiana","IN","Private","4 Year",9.134,24.768,33902,24768,33902
"Grace University","Nebraska","NE","Private","4 Year",6.912,23.03,29942,23030,29942
"Graceland University","Iowa","IA","Private","4 Year",8.76,29.24,38000,29240,38000
"Grambling State University","Louisiana","LA","Public","4 Year",7.192,7.435,14627,16458,23650
"Grand Canyon University","Arizona","AZ","For Profit","4 Year",10.1,27.09,37190,27090,37190
"Grand Valley State University","Michigan","MI","Public","4 Year",8.69,12.484,21174,17762,26452
"Grand View University","Iowa","IA","Private","4 Year",9.178,27.608,36786,27608,36786
"Grayson College","Texas","TX","Public","2 Year",5.7,3.6,9300,6120,11820
"Great Basin College","Nevada","NV","Public","4 Year",3.366,3.128,6494,9542,12908
"Great Lakes Christian College","Michigan","MI","Private","4 Year",8.8,17.22,26020,17220,26020
"Green Mountain College","Vermont","VT","Private","4 Year",11.722,37.002,48724,37002,48724
"Greensboro College","North Carolina","NC","Private","4 Year",10.8,29.14,39940,29140,39940
"Greenville University","Illinois","IL","Private","4 Year",9.048,27.152,36200,27152,36200
"Grinnell College","Iowa","IA","Private","4 Year",12.81,52.392,65202,52392,65202
"Grove City College","Pennsylvania","PA","Private","4 Year",9.77,17.93,27700,17930,27700
"Guilford College","North Carolina","NC","Private","4 Year",11.2,38.25,49450,38250,49450
"Gustavus Adolphus College","Minnesota","MN","Private","4 Year",9.91,45.4,55310,45400,55310
"Gutenberg College","Oregon","OR","Private","4 Year",5,13.65,18650,13650,18650
"Gwynedd Mercy University","Pennsylvania","PA","Private","4 Year",12.37,35.6,47970,35600,47970
"Hamilton College","New York","NY","Private","4 Year",13.87,54.62,68490,54620,68490
"Hamline University","Minnesota","MN","Private","4 Year",10.358,41.298,51656,41298,51656
"Hampden-Sydney College","Virginia","VA","Private","4 Year",13.558,45.746,59304,45746,59304
"Hampshire College","Massachusetts","MA","Private","4 Year",13.606,51.668,65274,51668,65274
"Hampton University","Virginia","VA","Private","4 Year",11.778,26.702,38480,26702,38480
"Hannibal-LaGrange University","Missouri","MO","Private","4 Year",8.108,22.75,30858,22750,30858
"Hanover College","Indiana","IN","Private","4 Year",11.58,37.67,49250,37670,49250
"Harcum College","Pennsylvania","PA","Private","2 Year",10.2,24.2,34400,24200,34400
"Hardin-Simmons University","Texas","TX","Private","4 Year",8.08,28.99,37070,28990,37070
"Harding University","Arkansas","AR","Private","4 Year",7.044,20.135,27179,20135,27179
"Harris-Stowe State University","Missouri","MO","Public","4 Year",9.25,5.34,14590,9973,19223
"Harrisburg University of Science and Technology","Pennsylvania","PA","Private","4 Year",6.8,23.9,30700,23900,30700
"Hartwick College","New York","NY","Private","4 Year",12.46,45.51,57970,45510,57970
"Harvard College","Massachusetts","MA","Private","4 Year",17.16,50.42,67580,50420,67580
"Harvey Mudd College","California","CA","Private","4 Year",18.127,56.876,75003,56876,75003
"Haskell Indian Nations University","Kansas","KS","Public","4 Year",0.95,0.48,1430,480,1430
"Hastings College","Nebraska","NE","Private","4 Year",9.7,30.05,39750,30050,39750
"Haverford College","Pennsylvania","PA","Private","4 Year",16.402,54.592,70994,54592,70994
"Hawaii Pacific University","Hawaii","HI","Private","4 Year",14.8,25.98,40780,25980,40780
"Hawaii Tokai International College","Hawaii","HI","Private","2 Year",9,13.485,22485,13485,22485
"Hebrew Theological College","Illinois","IL","Private","4 Year",12.38,12.92,25300,12920,25300
"Heidelberg University","Ohio","OH","Private","4 Year",10.4,31,41400,31000,41400
"Hellenic College/Holy Cross","Massachusetts","MA","Private","4 Year",16.192,22.49,38682,22490,38682
"Henderson State University","Arkansas","AR","Public","4 Year",7.504,8.436,15940,10086,17590
"Hendrix College","Arkansas","AR","Private","4 Year",12.284,45.79,58074,45790,58074
"Heritage Christian University","Alabama","AL","Private","4 Year",5.745,12.312,18057,12312,18057
"Herkimer County Community College","New York","NY","Public","2 Year",10.128,5.32,15448,7950,18078
"Hesston College","Kansas","KS","Private","2 Year",8.8,26.9,35700,26900,35700
"Hibbing Community College","Minnesota","MN","Public","2 Year",3.38,5.336,8716,5336,8716
"High Point University","North Carolina","NC","Private","4 Year",14.13,35.118,49248,35118,49248
"Highland Community College","Kansas","KS","Public","2 Year",6.528,3.03,9558,3510,10038
"Hilbert College","New York","NY","Private","4 Year",9.35,22.4,31750,22400,31750
"Hill College","Texas","TX","Public","2 Year",3.85,2.97,6820,4120,7970
"Hillsdale College","Michigan","MI","Private","4 Year",11,27.577,38577,27577,38577
"Hinds Community College","Mississippi","MS","Public","2 Year",4.12,3.13,7250,6170,10290
"Hiram College","Ohio","OH","Private","4 Year",10.29,34.3,44590,34300,44590
"Hiwassee College","Tennessee","TN","Private","2 Year",7.987,19.571,27558,19571,27558
"Hobart and William Smith Colleges","New York","NY","Private","4 Year",14.785,55.255,70040,55255,70040
"Hobe Sound Bible College","Florida","FL","Private","4 Year",6.17,6.49,12660,6490,12660
"Hocking College","Ohio","OH","Public","2 Year",8.56,4.39,12950,8790,17350
"Hofstra University","New York","NY","Private","4 Year",15.948,46.76,62708,46760,62708
"Hollins University","Virginia","VA","Private","4 Year",13.52,39.035,52555,39035,52555
"Holmes Community College","Mississippi","MS","Public","2 Year",3.08,3.11,6190,5690,8770
"Holy Cross College","Indiana","IN","Private","4 Year",11.5,30.82,42320,30820,42320
"Holy Family University","Pennsylvania","PA","Private","4 Year",13.576,30.346,43922,30346,43922
"Holy Names University","California","CA","Private","4 Year",13.19,39.316,52506,39316,52506
"Holy Trinity Orthodox Seminary","New York","NY","Private","4 Year",5.29,7.7,12990,7700,12990
"Hood College","Maryland","MD","Private","4 Year",12.7,39.492,52192,39492,52192
"Hope College","Michigan","MI","Private","4 Year",10.31,34.01,44320,34010,44320
"Hope International University","California","CA","Private","4 Year",10.49,33.4,43890,33400,43890
"Houghton College","New York","NY","Private","4 Year",9.288,32.488,41776,32488,41776
"Houston Baptist University","Texas","TX","Private","4 Year",8.814,32.53,41344,32530,41344
"Howard College","Texas","TX","Public","2 Year",4.834,2.56,7394,5420,10254
"Howard Payne University","Texas","TX","Private","4 Year",8.386,28.09,36476,28090,36476
"Hult International Business School","California","CA","Private","4 Year",15,40.65,55650,40650,55650
"Humboldt State University","California","CA","Public","4 Year",12.87,7.676,20546,19556,32426
"Huntingdon College","Alabama","AL","Private","4 Year",9.75,27.4,37150,27400,37150
"Huntington University","Indiana","IN","Private","4 Year",8.668,26.18,34848,26180,34848
"Husson University","Maine","ME","Private","4 Year",9.83,18.18,28010,18180,28010
"Huston-Tillotson University","Texas","TX","Private","4 Year",7.568,14.346,21914,14346,21914
"Hutchinson Community College","Kansas","KS","Public","2 Year",5.8,3,8800,4230,10030
"Idaho State University","Idaho","ID","Public","4 Year",7.207,7.42,14627,22940,30147
"Ilisagvik College","Alaska","AK","Public","2 Year",13,4.3,17300,4300,17300
"Illinois College","Illinois","IL","Private","4 Year",9.28,33.09,42370,33090,42370
"Illinois Institute of Technology","Illinois","IL","Private","4 Year",12.762,47.296,60058,47296,60058
"Illinois State University","Illinois","IL","Public","4 Year",9.85,14.516,24366,26040,35890
"Illinois Wesleyan University","Illinois","IL","Private","4 Year",10.984,47.636,58620,47636,58620
"Immaculata University","Pennsylvania","PA","Private","4 Year",12.62,27.35,39970,27350,39970
"Independence Community College","Kansas","KS","Public","2 Year",5.168,2.91,8078,3300,8468
"Indiana Institute of Technology","Indiana","IN","Private","4 Year",10.02,26.9,36920,26900,36920
